date,weekday,contributions
28-Sep-18,Friday,1
29-Sep-18,Saturday,2
30-Sep-18,Sunday,1
1-Oct-18,Monday,2
2-Oct-18,Tuesday,4
3-Oct-18,Wednesday,5
4-Oct-18,Thursday,23
5-Oct-18,Friday,5
6-Oct-18,Saturday,8
7-Oct-18,Sunday,1
8-Oct-18,Monday,2
9-Oct-18,Tuesday,2
