Company,Area,Skill,Count,% of Profiles
Microsoft,top skills,Artificial Intelligence,3,1%
Microsoft,top skills,Artificial Neural Networks,1,0%
Microsoft,top skills,Bayesian inference,1,0%
Microsoft,top skills,Big data,1,0%
Microsoft,top skills,Big Data,12,4%
Microsoft,top skills,Big Data Analytics,1,0%
Microsoft,top skills,Bioinformatics,5,2%
Microsoft,top skills,Biomechanics,1,0%
Microsoft,top skills,Biophysics,1,0%
Microsoft,top skills,Biostatistics,2,1%
Microsoft,top skills,Biotechnology,1,0%
Microsoft,top skills,Business Analysis,4,1%
Microsoft,top skills,Business Intelligence,17,5%
Microsoft,top skills,C,16,5%
Microsoft,top skills,C#,13,4%
Microsoft,top skills,C++,26,8%
Microsoft,top skills,Calculus,1,0%
Microsoft,top skills,Chemistry,1,0%
Microsoft,top skills,Cloud Computing,3,1%
Microsoft,top skills,Competitive Analysis,3,1%
Microsoft,top skills,Computational Linguistics,1,0%
Microsoft,top skills,Computer Security,2,1%
Microsoft,top skills,Computer Vision,4,1%
Microsoft,top skills,CRM,1,0%
Microsoft,top skills,Customer Service,2,1%
Microsoft,top skills,Data Analysis,53,16%
Microsoft,top skills,Data Analytics,1,0%
Microsoft,top skills,Data Engineering,1,0%
Microsoft,top skills,Data mining,1,0%
Microsoft,top skills,Data Mining,48,14%
Microsoft,top skills,Data Modeling,1,0%
Microsoft,top skills,Data Science,18,5%
Microsoft,top skills,Data Structures,4,1%
Microsoft,top skills,Data Warehousing,2,1%
Microsoft,top skills,Databases,3,1%
Microsoft,top skills,Deep Learning,6,2%
Microsoft,top skills,Derivatives,1,0%
Microsoft,top skills,Distributed Systems,3,1%
Microsoft,top skills,Ecology,1,0%
Microsoft,top skills,Econometrics,3,1%
Microsoft,top skills,Economics,1,0%
Microsoft,top skills,Electrical Engineering,1,0%
Microsoft,top skills,Enterprise Architecture,3,1%
Microsoft,top skills,Enterprise Search,1,0%
Microsoft,top skills,Enterprise Software,2,1%
Microsoft,top skills,Entrepreneurship,2,1%
Microsoft,top skills,Environmental Consulting,1,0%
Microsoft,top skills,Environmental Science,1,0%
Microsoft,top skills,ETL,1,0%
Microsoft,top skills,Experimental Design,1,0%
Microsoft,top skills,Financial Analysis,1,0%
Microsoft,top skills,Financial Markets,1,0%
Microsoft,top skills,Fluorescence Microscopy,1,0%
Microsoft,top skills,French,1,0%
Microsoft,top skills,FX Options,1,0%
Microsoft,top skills,Genomics,2,1%
Microsoft,top skills,Gestion de projet,1,0%
Microsoft,top skills,Hadoop,5,2%
Microsoft,top skills,Hive,1,0%
Microsoft,top skills,HTML,1,0%
Microsoft,top skills,Image Processing,3,1%
Microsoft,top skills,Information Extraction,1,0%
Microsoft,top skills,Information Retrieval,3,1%
Microsoft,top skills,Information Security,1,0%
Microsoft,top skills,Integration,1,0%
Microsoft,top skills,Intercultural Skills,1,0%
Microsoft,top skills,IT Management,1,0%
Microsoft,top skills,IT Service Management,1,0%
Microsoft,top skills,IT Strategy,1,0%
Microsoft,top skills,ITIL,1,0%
Microsoft,top skills,Java,19,6%
Microsoft,top skills,JavaScript,1,0%
Microsoft,top skills,Knowledge Graph,1,0%
Microsoft,top skills,Knowledge Management,1,0%
Microsoft,top skills,Large-scale Data Analysis,1,0%
Microsoft,top skills,LaTeX,3,1%
Microsoft,top skills,Leadership,6,2%
